Name_of_Business	Telephone	Street	Locality	Postcode	Region	Website
The Bowl Full	01522 304048	185 West Parade, 	Lincoln	LN1 1QS	Lincolnshire	#
Ryan's Bar & Usquabae	0131 603 1850	2 Hope Street, 	Edinburgh	EH2 4DB	Wiltshire	#
La Cuina	029 2167 7841	11 Kings Road, 	Cardiff	CF11 9BZ	Surrey	#
Volunteer Inn	01249 471380	 	Chippenham	SN15 5EL	Midlothian	#
21212	020 8398 8585	7 Station Approach, 	Esher	KT10 0SP	Leicestershire	#
Winley's	0845 2221212	3 Royal Terrace, 	Edinburgh	EH7 5AB	West Glamorgan	#
Thai Kitchen	0116 216 5424	The Nook, 	Leicester	LE9 1RQ	Derbyshire	#
Lock & Key Restaurant	01792 343707	87 High St, 	Swansea	SA4 4BL	Northamptonshire	/customerneeds/sendenquiry/sendtoone/100008071299000040?searchedLocation=United Kingdom
Big Taste Ltd	0191 406 8168	Downing Plaza, 	Newcastle-Upon-Tyne	NE4 5TN	Gwynedd	#
Piccolo Mondo (Renfrew)	01332 415831	65 Normanton Rd, 	Derby	DE1 2GH	Mid Glamorgan	#
Raj Pavilion Tandoori Restaurant	0141 885 1011	63 Hairst Street, 	Renfrew	PA4 8QU		#
The Red Lion	01482 581939	Halifax House, 30-34 George Street, 	Hull	HU1 3AJ		#
Harbour Fish Bar	01536 218411	7 High Street, 	Kettering	NN14 1NF		None
New Ystrad Fish Bar	01341 280189	Church St, 	Barmouth	LL42 1EH		None
Blacksmiths Arms Hotel	01242 529275	5-7 Winchcombe St, 	Cheltenham	GL52 2LZ	Gloucestershire	#
Fox & Hounds	0169 77 3452	Talkin, 	Brampton	CA8 1LE	Cumbria	#
Trattoria San Marco	01252 419428	71 Crookham Road, 	Fleet	GU51 5NP	Hampshire	/customerneeds/sendenquiry/sendtoone/100007767582000010?searchedLocation=United Kingdom
The Tigers Eye (Gloucester) Ltd,	01772 283620	Liverpool Old Road, 	Preston	PR4 4RJ	Gloucestershire	/customerneeds/sendenquiry/sendtoone/100008676065000020?searchedLocation=United Kingdom
Bojangles Bar Diner	020 7706 7900	28 Sussex Place, 	London	W2 2TH	Essex	/customerneeds/sendenquiry/sendtoone/100040405268000070?searchedLocation=United Kingdom
The TSE House	01452 332993	9a, Southgate St, 	Gloucester	GL1 1TG	Lincolnshire	/customerneeds/sendenquiry/sendtoone/100008950194000020?searchedLocation=United Kingdom
Mandarin Court Restaurant	01702 391961	36-38, Station Rd, 	Westcliff-On-Sea	SS0 7RA	Kent	/customerneeds/sendenquiry/sendtoone/100006517591000050?searchedLocation=United Kingdom
The Bowl Full	01209 713488	39 Commercial Street, 	Camborne	TR14 8JX	Kent	/customerneeds/sendenquiry/sendtoone/100007153987000010?searchedLocation=United Kingdom
Al Forno Mediterranean Restaurant	01635 874 019	10-11 The Broadway Courtyard, 	Thatcham	RG19 3JA	Midlothian	#
La Cuina	01522 304048	185 West Parade, 	Lincoln	LN1 1QS		#
Sans Pareil Enterprises Ltd	028 3025 7687	3 Francis Street, 	Newry	BT35 8BQ		#
Gurkha Palace Nepalese Restaurant	029 2167 7841	11 Kings Road, 	Cardiff	CF11 9BZ		/customerneeds/sendenquiry/sendtoone/100007351724000010?searchedLocation=United Kingdom
21212	01634 563335	245 Frindsbury Hill, 	Rochester	ME2 4JS		None
Shawarma Ltd	01224 693328	Unit 5 Cornhill Shopping Arcade, 	Aberdeen	AB16 5UT	Devon	#
Lamb Inn	01392 342891	47 Fore St, 	Exeter	EX5 4HZ	Cornwall	#
Ocean And Earth Thai Restaurant	01865 597340	Higher Market Street, 	East Looe	PL13 1BS	Gwynedd	#
Bryntirion Inn	01678 530205	Bryntirion Inn, 	Bala	LL23 7RA	Staffordshire	http://www.bryntirioninn.co.uk
Kismet Indian Restaurant	01782 818278	1A Queen Street, 	Stoke-On-Trent	ST6 3EL	Stirlingshire	#
Jute Cafe Bar	01382 237892	Dundee Contemporary Arts, 152-156, Nethergate, 	Dundee	DD1 4DY	Buckinghamshire	#
Gabe's Diner	07513 742211	Forthside Way, 	Stirling	FK8 1QZ	Cumbria	#
The Harrow Pub	01494 564105	62 Warrendene Rd, 	High Wycombe	HP14 4LX	Dyfed	#
Shanghai Shanghai Oriental Buffet	01228 548403	Unit 11, Portland Centre, Botchergate, 	Carlisle	CA1 1RP	East Lothian	http://www.thesoulvillesteakhouse.com
Happy City	01239 612273	49 Pendre, 	Cardigan	SA43 1JS	Berkshire	http://www.ogradysirishbar.com
The Chelsea Cafe	01792 346029	St Marys Street, 	Swansea	SA1 3LH		#
